mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu
15,8,350,165,3693,115,70,1,buick skylark 320
18,8,318,150,3436,11,70,1,plymouth satellite
16,8,304,150,3433,12,70,1,amc rebel sst
17,8,302,140,3449,105,70,1,ford torino
15,8,429,198,4341,10,70,1,ford galaxie 500
14,8,454,220,4354,9,70,1,chevrolet impala
14,8,440,215,4312,85,70,1,plymouth fury iii
14,8,455,225,4425,10,70,1,pontiac catalina
15,8,390,190,3850,85,70,1,amc ambassador dpl
15,8,383,170,3563,10,70,1,dodge challenger se
14,8,340,160,3609,8,70,1,plymouth 'cuda 340
15,8,400,150,3761,95,70,1,chevrolet monte carlo
14,8,455,225,3086,10,70,1,buick estate wagon (sw)
24,4,113,95,2372,15,70,3,toyota corona mark ii
22,6,198,95,2833,155,70,1,plymouth duster
18,6,199,97,2774,155,70,1,amc hornet
21,6,200,85,2587,16,70,1,ford maverick
27,4,97,88,2130,145,70,3,datsun pl510
26,4,97,46,1835,205,70,2,volkswagen 1131 deluxe sedan
25,4,110,87,2672,175,70,2,peugeot 504
24,4,107,90,2430,145,70,2,audi 100 ls
25,4,104,95,2375,175,70,2,saab 99e
26,4,121,113,2234,125,70,2,bmw 2002
21,6,199,90,2648,15,70,1,amc gremlin
10,8,360,215,4615,14,70,1,ford f250
10,8,307,200,4376,15,70,1,chevy c20
11,8,318,210,4382,135,70,1,dodge d200
9,8,304,193,4732,185,70,1,hi 1200d
27,4,97,88,2130,145,71,3,datsun pl510
28,4,140,90,2264,155,71,1,chevrolet vega 2300
25,4,113,95,2228,14,71,3,toyota corona
19,6,232,100,2634,13,71,1,amc gremlin
16,6,225,105,3439,155,71,1,plymouth satellite custom
17,6,250,100,3329,155,71,1,chevrolet chevelle malibu
19,6,250,88,3302,155,71,1,ford torino 500
18,6,232,100,3288,155,71,1,amc matador
14,8,350,165,4209,12,71,1,chevrolet impala
14,8,400,175,4464,115,71,1,pontiac catalina brougham
14,8,351,153,4154,135,71,1,ford galaxie 500
14,8,318,150,4096,13,71,1,plymouth fury iii
12,8,383,180,4955,115,71,1,dodge monaco (sw)
13,8,400,170,4746,12,71,1,ford country squire (sw)
13,8,400,175,5140,12,71,1,pontiac safari (sw)
18,6,258,110,2962,135,71,1,amc hornet sportabout (sw)
22,4,140,72,2408,19,71,1,chevrolet vega (sw)
19,6,250,100,3282,15,71,1,pontiac firebird
18,6,250,88,3139,145,71,1,ford mustang
23,4,122,86,2220,14,71,1,mercury capri 2000
28,4,116,90,2123,14,71,2,opel 1900
30,4,79,70,2074,195,71,2,peugeot 304
30,4,88,76,2065,145,71,2,fiat 124b
31,4,71,65,1773,19,71,3,toyota corolla 1200
35,4,72,69,1613,18,71,3,datsun 1200
27,4,97,60,1834,19,71,2,volkswagen model 111
26,4,91,70,1955,205,71,1,plymouth cricket
24,4,113,95,2278,155,72,3,toyota corona hardtop
25,4,975,80,2126,17,72,1,dodge colt hardtop
23,4,97,54,2254,235,72,2,volkswagen type 3
20,4,140,90,2408,195,72,1,chevrolet vega
21,4,122,86,2226,165,72,1,ford pinto runabout
13,8,350,165,4274,12,72,1,chevrolet impala
14,8,400,175,4385,12,72,1,pontiac catalina
15,8,318,150,4135,135,72,1,plymouth fury iii
14,8,351,153,4129,13,72,1,ford galaxie 500
17,8,304,150,3672,115,72,1,amc ambassador sst
11,8,429,208,4633,11,72,1,mercury marquis
13,8,350,155,4502,135,72,1,buick lesabre custom
12,8,350,160,4456,135,72,1,oldsmobile delta 88 royale
13,8,400,190,4422,125,72,1,chrysler newport royal
19,3,70,97,2330,135,72,3,mazda rx2 coupe
15,8,304,150,3892,125,72,1,amc matador (sw)
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,72,1,ford gran torino (sw)
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw)
18,4,121,112,2933,145,72,2,volvo 145e (sw)
22,4,121,76,2511,18,72,2,volkswagen 411 (sw)
21,4,120,87,2979,195,72,2,peugeot 504 (sw)
26,4,96,69,2189,18,72,2,renault 12 (sw)
22,4,122,86,2395,16,72,1,ford pinto (sw)
28,4,97,92,2288,17,72,3,datsun 510 (sw)
23,4,120,97,2506,145,72,3,toyouta corona mark ii (sw)
28,4,98,80,2164,15,72,1,dodge colt (sw)
27,4,97,88,2100,165,72,3,toyota corolla 1600 (sw)
13,8,350,175,4100,13,73,1,buick century 350
14,8,304,150,3672,115,73,1,amc matador
13,8,350,145,3988,13,73,1,chevrolet malibu
14,8,302,137,4042,145,73,1,ford gran torino
15,8,318,150,3777,125,73,1,dodge coronet custom
12,8,429,198,4952,115,73,1,mercury marquis brougham
13,8,400,150,4464,12,73,1,chevrolet caprice classic
13,8,351,158,4363,13,73,1,ford ltd
14,8,318,150,4237,145,73,1,plymouth fury gran sedan
13,8,440,215,4735,11,73,1,chrysler new yorker brougham
12,8,455,225,4951,11,73,1,buick electra 225 custom
13,8,360,175,3821,11,73,1,amc ambassador brougham
18,6,225,105,3121,165,73,1,plymouth valiant
16,6,250,100,3278,18,73,1,chevrolet nova custom
18,6,232,100,2945,16,73,1,amc hornet
18,6,250,88,3021,165,73,1,ford maverick
23,6,198,95,2904,16,73,1,plymouth duster
26,4,97,46,1950,21,73,2,volkswagen super beetle
11,8,400,150,4997,14,73,1,chevrolet impala
12,8,400,167,4906,125,73,1,ford country
13,8,360,170,4654,13,73,1,plymouth custom suburb
12,8,350,180,4499,125,73,1,oldsmobile vista cruiser
18,6,232,100,2789,15,73,1,amc gremlin
20,4,97,88,2279,19,73,3,toyota carina
21,4,140,72,2401,195,73,1,chevrolet vega
22,4,108,94,2379,165,73,3,datsun 610
18,3,70,90,2124,135,73,3,maxda rx3
19,4,122,85,2310,185,73,1,ford pinto
21,6,155,107,2472,14,73,1,mercury capri v6
26,4,98,90,2265,155,73,2,fiat 124 sport coupe
15,8,350,145,4082,13,73,1,chevrolet monte carlo s
16,8,400,230,4278,95,73,1,pontiac grand prix
29,4,68,49,1867,195,73,2,fiat 128
24,4,116,75,2158,155,73,2,opel manta
20,4,114,91,2582,14,73,2,audi 100ls
19,4,121,112,2868,155,73,2,volvo 144ea
15,8,318,150,3399,11,73,1,dodge dart custom
24,4,121,110,2660,14,73,2,saab 99le
20,6,156,122,2807,135,73,3,toyota mark ii
11,8,350,180,3664,11,73,1,oldsmobile omega
20,6,198,95,3102,165,74,1,plymouth duster
19,6,232,100,2901,16,74,1,amc hornet
15,6,250,100,3336,17,74,1,chevrolet nova
31,4,79,67,1950,19,74,3,datsun b210
26,4,122,80,2451,165,74,1,ford pinto
32,4,71,65,1836,21,74,3,toyota corolla 1200
25,4,140,75,2542,17,74,1,chevrolet vega
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,1,amc matador
18,6,225,105,3613,165,74,1,plymouth satellite sebring
16,8,302,140,4141,14,74,1,ford gran torino
13,8,350,150,4699,145,74,1,buick century luxus (sw)
14,8,318,150,4457,135,74,1,dodge coronet custom (sw)
14,8,302,140,4638,16,74,1,ford gran torino (sw)
14,8,304,150,4257,155,74,1,amc matador (sw)
29,4,98,83,2219,165,74,2,audi fox
26,4,79,67,1963,155,74,2,volkswagen dasher
26,4,97,78,2300,145,74,2,opel manta
31,4,76,52,1649,165,74,3,toyota corona
32,4,83,61,2003,19,74,3,datsun 710
28,4,90,75,2125,145,74,1,dodge colt
24,4,90,75,2108,155,74,2,fiat 128
26,4,116,75,2246,14,74,2,fiat 124 tc
24,4,120,97,2489,15,74,3,honda civic
26,4,108,93,2391,155,74,3,subaru
31,4,79,67,2000,16,74,2,fiat x1.9
19,6,225,95,3264,16,75,1,plymouth valiant custom
18,6,250,105,3459,16,75,1,chevrolet nova
15,6,250,72,3432,21,75,1,mercury monarch
15,6,250,72,3158,195,75,1,ford maverick
16,8,400,170,4668,115,75,1,pontiac catalina
15,8,350,145,4440,14,75,1,chevrolet bel air
16,8,318,150,4498,145,75,1,plymouth grand fury
14,8,351,148,4657,135,75,1,ford ltd
17,6,231,110,3907,21,75,1,buick century
16,6,250,105,3897,185,75,1,chevroelt chevelle malibu
15,6,258,110,3730,19,75,1,amc matador
18,6,225,95,3785,19,75,1,plymouth fury
21,6,231,110,3039,15,75,1,buick skyhawk
20,8,262,110,3221,135,75,1,chevrolet monza 2+2
13,8,302,129,3169,12,75,1,ford mustang ii
29,4,97,75,2171,16,75,3,toyota corolla
23,4,140,83,2639,17,75,1,ford pinto
20,6,232,100,2914,16,75,1,amc gremlin
23,4,140,78,2592,185,75,1,pontiac astro
24,4,134,96,2702,135,75,3,toyota corona
25,4,90,71,2223,165,75,2,volkswagen dasher
24,4,119,97,2545,17,75,3,datsun 710
18,6,171,97,2984,145,75,1,ford pinto
29,4,90,70,1937,14,75,2,volkswagen rabbit
19,6,232,90,3211,17,75,1,amc pacer
23,4,115,95,2694,15,75,2,audi 100ls
23,4,120,88,2957,17,75,2,peugeot 504
22,4,121,98,2945,145,75,2,volvo 244dl
25,4,121,115,2671,135,75,2,saab 99le
33,4,91,53,1795,175,75,3,honda civic cvcc
28,4,107,86,2464,155,76,2,fiat 131
25,4,116,81,2220,169,76,2,opel 1900
25,4,140,92,2572,149,76,1,capri ii
26,4,98,79,2255,177,76,1,dodge colt
27,4,101,83,2202,153,76,2,renault 12tl
175,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,1,dodge coronet brougham
155,8,304,120,3962,139,76,1,amc matador
145,8,351,152,4215,128,76,1,ford gran torino
22,6,225,100,3233,154,76,1,plymouth valiant
22,6,250,105,3353,145,76,1,chevrolet nova
24,6,200,81,3012,176,76,1,ford maverick
225,6,232,90,3085,176,76,1,amc hornet
29,4,85,52,2035,222,76,1,chevrolet chevette
245,4,98,60,2164,221,76,1,chevrolet woody
29,4,90,70,1937,142,76,2,vw rabbit
33,4,91,53,1795,174,76,3,honda civic
20,6,225,100,3651,177,76,1,dodge aspen se
18,6,250,78,3574,21,76,1,ford granada ghia
185,6,250,110,3645,162,76,1,pontiac ventura sj
175,6,258,95,3193,178,76,1,amc pacer d/l
295,4,97,71,1825,122,76,2,volkswagen rabbit
32,4,85,70,1990,17,76,3,datsun b-210
28,4,97,75,2155,164,76,3,toyota corolla
265,4,140,72,2565,136,76,1,ford pinto
20,4,130,102,3150,157,76,2,volvo 245
13,8,318,150,3940,132,76,1,plymouth volare premier v8
19,4,120,88,3270,219,76,2,peugeot 504
19,6,156,108,2930,155,76,3,toyota mark ii
165,6,168,120,3820,167,76,2,mercedes-benz 280s
165,8,350,180,4380,121,76,1,cadillac seville
13,8,350,145,4055,12,76,1,chevy c10
13,8,302,130,3870,15,76,1,ford f108
13,8,318,150,3755,14,76,1,dodge d100
315,4,98,68,2045,185,77,3,honda accord cvcc
30,4,111,80,2155,148,77,1,buick opel isuzu deluxe
36,4,79,58,1825,186,77,2,renault 5 gtl
255,4,122,96,2300,155,77,1,plymouth arrow gs
335,4,85,70,1945,168,77,3,datsun f-10 hatchback
175,8,305,145,3880,125,77,1,chevrolet caprice classic
17,8,260,110,4060,19,77,1,oldsmobile cutlass supreme
155,8,318,145,4140,137,77,1,dodge monaco brougham
15,8,302,130,4295,149,77,1,mercury cougar brougham
175,6,250,110,3520,164,77,1,chevrolet concours
205,6,231,105,3425,169,77,1,buick skylark
19,6,225,100,3630,177,77,1,plymouth volare custom
185,6,250,98,3525,19,77,1,ford granada
16,8,400,180,4220,111,77,1,pontiac grand prix lj
155,8,350,170,4165,114,77,1,chevrolet monte carlo landau
155,8,400,190,4325,122,77,1,chrysler cordoba
16,8,351,149,4335,145,77,1,ford thunderbird
29,4,97,78,1940,145,77,2,volkswagen rabbit custom
245,4,151,88,2740,16,77,1,pontiac sunbird coupe
26,4,97,75,2265,182,77,3,toyota corolla liftback
255,4,140,89,2755,158,77,1,ford mustang ii 2+2
305,4,98,63,2051,17,77,1,chevrolet chevette
335,4,98,83,2075,159,77,1,dodge colt m/m
30,4,97,67,1985,164,77,3,subaru dl
305,4,97,78,2190,141,77,2,volkswagen dasher
22,6,146,97,2815,145,77,3,datsun 810
215,4,121,110,2600,128,77,2,bmw 320i
215,3,80,110,2720,135,77,3,mazda rx-4
431,4,90,48,1985,215,78,2,volkswagen rabbit custom diesel
361,4,98,66,1800,144,78,1,ford fiesta
328,4,78,52,1985,194,78,3,mazda glc deluxe
394,4,85,70,2070,186,78,3,datsun b210 gx
361,4,91,60,1800,164,78,3,honda civic cvcc
199,8,260,110,3365,155,78,1,oldsmobile cutlass salon brougham
194,8,318,140,3735,132,78,1,dodge diplomat
202,8,302,139,3570,128,78,1,mercury monarch ghia
192,6,231,105,3535,192,78,1,pontiac phoenix lj
205,6,200,95,3155,182,78,1,chevrolet malibu
202,6,200,85,2965,158,78,1,ford fairmont (auto)
251,4,140,88,2720,154,78,1,ford fairmont (man)
205,6,225,100,3430,172,78,1,plymouth volare
194,6,232,90,3210,172,78,1,amc concord
206,6,231,105,3380,158,78,1,buick century special
208,6,200,85,3070,167,78,1,mercury zephyr
186,6,225,110,3620,187,78,1,dodge aspen
181,6,258,120,3410,151,78,1,amc concord d/l
192,8,305,145,3425,132,78,1,chevrolet monte carlo landau
177,6,231,165,3445,134,78,1,buick regal sport coupe (turbo)
181,8,302,139,3205,112,78,1,ford futura
175,8,318,140,4080,137,78,1,dodge magnum xe
30,4,98,68,2155,165,78,1,chevrolet chevette
275,4,134,95,2560,142,78,3,toyota corona
272,4,119,97,2300,147,78,3,datsun 510
309,4,105,75,2230,145,78,1,dodge omni
211,4,134,95,2515,148,78,3,toyota celica gt liftback
232,4,156,105,2745,167,78,1,plymouth sapporo
238,4,151,85,2855,176,78,1,oldsmobile starfire sx
239,4,119,97,2405,149,78,3,datsun 200-sx
203,5,131,103,2830,159,78,2,audi 5000
17,6,163,125,3140,136,78,2,volvo 264gl
216,4,121,115,2795,157,78,2,saab 99gle
162,6,163,133,3410,158,78,2,peugeot 604sl
315,4,89,71,1990,149,78,2,volkswagen scirocco
295,4,98,68,2135,166,78,3,honda accord lx
215,6,231,115,3245,154,79,1,pontiac lemans v6
198,6,200,85,2990,182,79,1,mercury zephyr 6
223,4,140,88,2890,173,79,1,ford fairmont 4
202,6,232,90,3265,182,79,1,amc concord dl 6
206,6,225,110,3360,166,79,1,dodge aspen 6
17,8,305,130,3840,154,79,1,chevrolet caprice classic
176,8,302,129,3725,134,79,1,ford ltd landau
165,8,351,138,3955,132,79,1,mercury grand marquis
182,8,318,135,3830,152,79,1,dodge st. regis
169,8,350,155,4360,149,79,1,buick estate wagon (sw)
155,8,351,142,4054,143,79,1,ford country squire (sw)
192,8,267,125,3605,15,79,1,chevrolet malibu classic (sw)
185,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw)
319,4,89,71,1925,14,79,2,vw rabbit custom
341,4,86,65,1975,152,79,3,maxda glc deluxe
357,4,98,80,1915,144,79,1,dodge colt hatchback custom
274,4,121,80,2670,15,79,1,amc spirit dl
254,5,183,77,3530,201,79,2,mercedes benz 300d
23,8,350,125,3900,174,79,1,cadillac eldorado
272,4,141,71,3190,248,79,2,peugeot 504
239,8,260,90,3420,222,79,1,oldsmobile cutlass salon brougham
342,4,105,70,2200,132,79,1,plymouth horizon
345,4,105,70,2150,149,79,1,plymouth horizon tc3
318,4,85,65,2020,192,79,3,datsun 210
373,4,91,69,2130,147,79,2,fiat strada custom
284,4,151,90,2670,16,79,1,buick skylark limited
288,6,173,115,2595,113,79,1,chevrolet citation
268,6,173,115,2700,129,79,1,oldsmobile omega brougham
335,4,151,90,2556,132,79,1,pontiac phoenix
415,4,98,76,2144,147,80,2,vw rabbit
381,4,89,60,1968,188,80,3,toyota corolla tercel
321,4,98,70,2120,155,80,1,chevrolet chevette
372,4,86,65,2019,164,80,3,datsun 310
28,4,151,90,2678,165,80,1,chevrolet citation
264,4,140,88,2870,181,80,1,ford fairmont
243,4,151,90,3003,201,80,1,amc concord
191,6,225,90,3381,187,80,1,dodge aspen
343,4,97,78,2188,158,80,2,audi 4000
298,4,134,90,2711,155,80,3,toyota corona liftback
313,4,120,75,2542,175,80,3,mazda 626
37,4,119,92,2434,15,80,3,datsun 510 hatchback
322,4,108,75,2265,152,80,3,toyota corolla
466,4,86,65,2110,179,80,3,mazda glc
279,4,156,105,2800,144,80,1,dodge colt
408,4,85,65,2110,192,80,3,datsun 210
443,4,90,48,2085,217,80,2,vw rabbit c (diesel)
434,4,90,48,2335,237,80,2,vw dasher (diesel)
364,5,121,67,2950,199,80,2,audi 5000s (diesel)
30,4,146,67,3250,218,80,2,mercedes-benz 240d
446,4,91,67,1850,138,80,3,honda civic 1500 gl
338,4,97,67,2145,18,80,3,subaru dl
298,4,89,62,1845,153,80,2,vokswagen rabbit
327,6,168,132,2910,114,80,3,datsun 280-zx
237,3,70,100,2420,125,80,3,mazda rx-7 gs
35,4,122,88,2500,151,80,2,triumph tr7 coupe
324,4,107,72,2290,17,80,3,honda accord
272,4,135,84,2490,157,81,1,plymouth reliant
266,4,151,84,2635,164,81,1,buick skylark
258,4,156,92,2620,144,81,1,dodge aries wagon (sw)
235,6,173,110,2725,126,81,1,chevrolet citation
30,4,135,84,2385,129,81,1,plymouth reliant
391,4,79,58,1755,169,81,3,toyota starlet
39,4,86,64,1875,164,81,1,plymouth champ
351,4,81,60,1760,161,81,3,honda civic 1300
323,4,97,67,2065,178,81,3,subaru
37,4,85,65,1975,194,81,3,datsun 210 mpg
377,4,89,62,2050,173,81,3,toyota tercel
341,4,91,68,1985,16,81,3,mazda glc 4
347,4,105,63,2215,149,81,1,plymouth horizon 4
344,4,98,65,2045,162,81,1,ford escort 4w
299,4,98,65,2380,207,81,1,ford escort 2h
33,4,105,74,2190,142,81,2,volkswagen jetta
337,4,107,75,2210,144,81,3,honda prelude
324,4,108,75,2350,168,81,3,toyota corolla
329,4,119,100,2615,148,81,3,datsun 200sx
316,4,120,74,2635,183,81,3,mazda 626
281,4,141,80,3230,204,81,2,peugeot 505s turbo diesel
307,6,145,76,3160,196,81,2,volvo diesel
254,6,168,116,2900,126,81,3,toyota cressida
242,6,146,120,2930,138,81,3,datsun 810 maxima
224,6,231,110,3415,158,81,1,buick century
266,8,350,105,3725,19,81,1,oldsmobile cutlass ls
202,6,200,88,3060,171,81,1,ford granada gl
176,6,225,85,3465,166,81,1,chrysler lebaron salon
28,4,112,88,2605,196,82,1,chevrolet cavalier
27,4,112,88,2640,186,82,1,chevrolet cavalier wagon
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
31,4,112,85,2575,162,82,1,pontiac j2000 se hatchback
29,4,135,84,2525,16,82,1,dodge aries se
27,4,151,90,2735,18,82,1,pontiac phoenix
24,4,140,92,2865,164,82,1,ford fairmont futura
36,4,105,74,1980,153,82,2,volkswagen rabbit l
37,4,91,68,2025,182,82,3,mazda glc custom l
31,4,91,68,1970,176,82,3,mazda glc custom
38,4,105,63,2125,147,82,1,plymouth horizon miser
36,4,98,70,2125,173,82,1,mercury lynx l
36,4,120,88,2160,145,82,3,nissan stanza xe
36,4,107,75,2205,145,82,3,honda accord
34,4,108,70,2245,169,82,3,toyota corolla
38,4,91,67,1965,15,82,3,honda civic
32,4,91,67,1965,157,82,3,honda civic (auto)
38,4,91,67,1995,162,82,3,datsun 310 gx
25,6,181,110,2945,164,82,1,buick century limited
38,6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,145,82,1,chrysler lebaron medallion
22,6,232,112,2835,147,82,1,ford granada l
32,4,144,96,2665,139,82,3,toyota celica gt
36,4,135,84,2370,13,82,1,dodge charger 2.2
27,4,151,90,2950,173,82,1,chevrolet camaro
27,4,140,86,2790,156,82,1,ford mustang gl
44,4,97,52,2130,246,82,2,vw pickup
32,4,135,84,2295,116,82,1,dodge rampage
28,4,120,79,2625,186,82,1,ford ranger
31,4,119,82,2720,194,82,1,chevy s-10